"sensorId","type","value","createdAt"
"28D00594970203C6","AMBIENT_TEMPERATURE",2.5,"2023-10-11 10:04:52.143+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.777,"2023-10-21 12:32:45.843+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",5,"2023-10-21 12:32:45.863+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.846,"2023-11-21 16:57:00.331+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.811,"2023-12-07 23:36:34.252+00"
"28A53A43D4E13CD3","TEMPERATURE",9.4,"2023-12-07 23:36:34.267+00"
"28182943D4E13CAC","TEMPERATURE",21.9,"2023-12-07 23:36:34.266+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",25,"2023-09-07 15:38:15.39+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",15,"2023-09-17 03:44:19.711+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.946,"2023-12-19 03:48:13.8+00"
"28182943D4E13CAC","TEMPERATURE",21.4,"2023-12-28 02:19:02.291+00"
"2812CE43D4E13CE8","TEMPERATURE",7.59,"2023-12-28 02:19:02.313+00"
"28D39E43D4E13CD5","TEMPERATURE",10.02,"2023-12-28 02:19:02.33+00"
"286C3543D4E13CB5","TEMPERATURE",29.46,"2023-12-19 03:48:13.825+00"
"286C3543D4E13CB5","TEMPERATURE",26.46,"2023-12-07 23:36:34.253+00"
"28351643D4E13CBB","TEMPERATURE",16.9,"2023-12-07 23:36:34.268+00"
"28214043D4E13C35","TEMPERATURE",19.34,"2023-12-07 23:36:34.27+00"
"28214043D4E13C35","TEMPERATURE",13.84,"2023-12-19 03:48:13.864+00"
"28351643D4E13CBB","TEMPERATURE",12.4,"2023-12-19 03:48:13.879+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",5,"2023-12-25 06:39:07.53+00"
"28F64A43D4E13CC9","TEMPERATURE",26.9,"2023-12-25 06:39:07.568+00"
"28D39E43D4E13CD5","TEMPERATURE",17.02,"2023-12-25 06:39:07.592+00"
"286C3543D4E13CB5","TEMPERATURE",27.96,"2023-12-28 02:19:02.297+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.964,"2023-10-07 05:26:13.24+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",17.5,"2023-10-03 01:57:32.341+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",5.5,"2023-12-07 23:36:34.255+00"
"2812CE43D4E13CE8","TEMPERATURE",10.59,"2023-12-07 23:36:34.269+00"
"28F64A43D4E13CC9","TEMPERATURE",27.4,"2023-12-07 23:36:34.271+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",9,"2023-10-07 05:26:13.26+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.567,"2023-10-16 04:54:53.21+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",4.08,"2023-09-07 15:56:10.655+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.87,"2023-09-17 04:02:13.918+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.646,"2023-10-22 18:04:58.307+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",34663.765,"2023-11-21 16:57:00.407+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",34090.409,"2023-12-25 06:39:07.594+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",4.054,"2023-10-03 01:57:32.325+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",-5.5,"2023-12-19 03:48:13.817+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",10.5,"2023-11-21 16:57:00.361+00"
"287C5E43D4E13C8F","TEMPERATURE",17.71,"2023-12-07 23:36:34.256+00"
"28D39E43D4E13CD5","TEMPERATURE",11.02,"2023-12-07 23:36:34.272+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.812,"2023-12-25 06:39:07.523+00"
"2812CE43D4E13CE8","TEMPERATURE",13.09,"2023-12-25 06:39:07.565+00"
"28214043D4E13C35","TEMPERATURE",24.84,"2023-12-25 06:39:07.58+00"
"287C5E43D4E13C8F","TEMPERATURE",14.71,"2023-12-19 03:48:13.839+00"
"286C3543D4E13CB5","TEMPERATURE",30.96,"2023-12-25 06:39:07.543+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",26.5,"2023-09-07 15:56:10.692+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",4.083,"2023-09-07 16:14:06.103+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.872,"2023-09-17 04:20:07.754+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",8,"2023-10-16 04:54:53.227+00"
